preset,presetLabel,seed,categoryId,layoutId,compositionZone,botanicalFamily,clusterType,colorStory,nodeCount,absoluteCommercialQuality,heroVisibility,patternBeautyScore,illustrationQuality,visualRichness,botanicalRealism,luxuryFeeling,editorialFeeling,premiumFeeling,fabricFeeling,wallpaperFeeling,giftWrapFeeling,visualStory,svgFile,pngFile
editorialBotanical,Editorial Botanical,p-1,botanical,heroFlow,editorial,magnolia,n/a,pastel-dream,2167,89,90.85,83,51,53,24,78,50,94,65,65,60,59,svg/editorialBotanical_p-1.svg,png/editorialBotanical_p-1.png
editorialBotanical,Editorial Botanical,p-2,botanical,heroFlow,editorial,anemone,n/a,sage-terracotta,2459,89,100,82,55,56,26,94,52,92,65,65,60,60,svg/editorialBotanical_p-2.svg,png/editorialBotanical_p-2.png
editorialBotanical,Editorial Botanical,p-3,botanical,sCurve,diagonal,magnolia,n/a,pastel-dream,2975,80,90.85,73,55,56,27,74,48,91,65,65,60,59,svg/editorialBotanical_p-3.svg,png/editorialBotanical_p-3.png
editorialBotanical,Editorial Botanical,p-4,botanical,heroFlow,sCurve,tulip,n/a,sage-terracotta,2248,89,100,82,58,60,42,98,47,95,65,65,60,56,svg/editorialBotanical_p-4.svg,png/editorialBotanical_p-4.png
editorialBotanical,Editorial Botanical,p-5,botanical,heroFlow,editorial,magnolia,n/a,pastel-dream,2166,90,90.85,83,52,53,19,77,52,93,65,65,60,60,svg/editorialBotanical_p-5.svg,png/editorialBotanical_p-5.png
luxuryFloral,Luxury Floral,p-1,botanical,heroScatter,diagonal,magnolia,sprayBouquet,jewel-tones,5830,89,100,81,61,58,27,98,46,95,65,65,40,57,svg/luxuryFloral_p-1.svg,png/luxuryFloral_p-1.png
luxuryFloral,Luxury Floral,p-2,botanical,heroScatter,goldenRatio,rose,sprayBouquet,blush-gold,5815,88,94.4,81,60,57,27,93,49,92,65,65,40,59,svg/luxuryFloral_p-2.svg,png/luxuryFloral_p-2.png
luxuryFloral,Luxury Floral,p-3,botanical,bouquet,goldenRatio,rose,sprayBouquet,jewel-tones,5945,86,90.1,77,66,54,21,91,56,89,65,65,40,50,svg/luxuryFloral_p-3.svg,png/luxuryFloral_p-3.png
luxuryFloral,Luxury Floral,p-4,botanical,heroScatter,goldenRatio,rose,sprayBouquet,jewel-tones,6051,88,98.6,82,65,66,31,96,50,93,65,65,40,62,svg/luxuryFloral_p-4.svg,png/luxuryFloral_p-4.png
luxuryFloral,Luxury Floral,p-5,botanical,heroScatter,goldenRatio,magnolia,sprayBouquet,jewel-tones,6172,88,100,81,61,57,33,96,50,93,65,65,40,58,svg/luxuryFloral_p-5.svg,png/luxuryFloral_p-5.png
scandinavianOrganic,Scandinavian Organic,p-1,organic,scatter,wave,eucalyptus,organicScatter,scandinavian-calm,657,88,100,83,,,,99,50,92,50,65,60,60,svg/scandinavianOrganic_p-1.svg,png/scandinavianOrganic_p-1.png
scandinavianOrganic,Scandinavian Organic,p-2,botanical,scatter,centerFocus,eucalyptus,organicScatter,coastal-neutral,2960,86,87.05,80,43,64,33,78,47,77,65,65,60,57,svg/scandinavianOrganic_p-2.svg,png/scandinavianOrganic_p-2.png
scandinavianOrganic,Scandinavian Organic,p-3,organic,airy,offset,fern,organicScatter,coastal-neutral,774,87,95.6,79,,,,100,52,92,50,65,60,52,svg/scandinavianOrganic_p-3.svg,png/scandinavianOrganic_p-3.png
scandinavianOrganic,Scandinavian Organic,p-4,organic,airy,centerFocus,fern,organicScatter,coastal-neutral,905,87,96.8,80,,,,99,51,92,50,65,60,53,svg/scandinavianOrganic_p-4.svg,png/scandinavianOrganic_p-4.png
scandinavianOrganic,Scandinavian Organic,p-5,organic,scatter,wave,fern,organicScatter,coastal-neutral,832,89,100,83,,,,99,50,91,50,65,60,59,svg/scandinavianOrganic_p-5.svg,png/scandinavianOrganic_p-5.png
minimalBotanical,Minimal Botanical,p-1,botanical,gridMinimal,cornerFlow,olive,n/a,coastal-neutral,696,4,89,67,49,46,44,93,87,86,65,65,60,73,svg/minimalBotanical_p-1.svg,png/minimalBotanical_p-1.png
minimalBotanical,Minimal Botanical,p-2,botanical,grid,centerFocus,eucalyptus,n/a,mono-charcoal,1507,30,64.30000000000001,78,45,70,38,69,84,73,65,65,45,75,svg/minimalBotanical_p-2.svg,png/minimalBotanical_p-2.png
minimalBotanical,Minimal Botanical,p-3,botanical,grid,cornerFlow,eucalyptus,n/a,mono-charcoal,1514,46,88.6,79,43,79,31,100,87,92,65,65,60,72,svg/minimalBotanical_p-3.svg,png/minimalBotanical_p-3.png
minimalBotanical,Minimal Botanical,p-4,botanical,gridMinimal,centerFocus,eucalyptus,n/a,mono-charcoal,514,35,89.8,64,43,39,36,93,67,86,65,65,60,59,svg/minimalBotanical_p-4.svg,png/minimalBotanical_p-4.png
minimalBotanical,Minimal Botanical,p-5,botanical,grid,centerFocus,eucalyptus,n/a,coastal-neutral,1369,30,68.1,79,42,71,33,72,84,75,65,65,45,77,svg/minimalBotanical_p-5.svg,png/minimalBotanical_p-5.png
vintageHerbarium,Vintage Herbarium,p-1,botanical,halfDrop,offset,wildflower,organicScatter,terracotta,3548,47,76.45,81,50,73,45,84,91,84,65,65,60,77,svg/vintageHerbarium_p-1.svg,png/vintageHerbarium_p-1.png
vintageHerbarium,Vintage Herbarium,p-2,botanical,scatter,offset,herb,organicScatter,french-vintage,4388,72,79,80,51,59,49,75,47,78,65,65,60,56,svg/vintageHerbarium_p-2.svg,png/vintageHerbarium_p-2.png
vintageHerbarium,Vintage Herbarium,p-3,botanical,halfDrop,editorial,herb,organicScatter,earth-tone,3394,47,82.5,82,52,74,53,88,90,87,65,65,60,80,svg/vintageHerbarium_p-3.svg,png/vintageHerbarium_p-3.png
vintageHerbarium,Vintage Herbarium,p-4,botanical,halfDrop,wave,herb,organicScatter,earth-tone,3521,47,77.55,82,49,72,42,81,91,82,65,65,60,82,svg/vintageHerbarium_p-4.svg,png/vintageHerbarium_p-4.png
vintageHerbarium,Vintage Herbarium,p-5,botanical,scatter,wave,wildflower,organicScatter,french-vintage,5900,86,89.15,81,49,56,41,86,46,82,65,65,60,56,svg/vintageHerbarium_p-5.svg,png/vintageHerbarium_p-5.png
darkBotanical,Dark Botanical,p-1,botanical,bouquet,radial,fern,n/a,midnight-botanical,5780,88,92.3,82,58,59,32,91,50,90,65,65,40,61,svg/darkBotanical_p-1.svg,png/darkBotanical_p-1.png
darkBotanical,Dark Botanical,p-2,botanical,bouquet,centerFocus,berryBranch,n/a,dark-floral,5743,89,93.5,82,59,61,30,92,51,90,65,65,40,57,svg/darkBotanical_p-2.svg,png/darkBotanical_p-2.png
darkBotanical,Dark Botanical,p-3,botanical,bouquet,diagonal,berryBranch,n/a,dark-floral,6012,88,85.15,80,65,56,45,85,49,86,65,65,40,53,svg/darkBotanical_p-3.svg,png/darkBotanical_p-3.png
darkBotanical,Dark Botanical,p-4,botanical,sCurve,radial,berryBranch,n/a,dark-floral,5319,58,100,73,62,72,39,92,44,89,65,65,40,60,svg/darkBotanical_p-4.svg,png/darkBotanical_p-4.png
darkBotanical,Dark Botanical,p-5,botanical,bouquet,radial,berryBranch,n/a,midnight-botanical,6318,87,88.8,81,64,57,35,82,49,84,65,65,40,59,svg/darkBotanical_p-5.svg,png/darkBotanical_p-5.png
modernTropical,Modern Tropical,p-1,tropical,heroScatter,zFlow,n/a,cornerCluster,citrus-pop,6006,88,85.65,83,,,,82,49,84,65,65,60,58,svg/modernTropical_p-1.svg,png/modernTropical_p-1.png
modernTropical,Modern Tropical,p-2,tropical,heroScatter,zFlow,n/a,cornerCluster,citrus-pop,5982,88,83.55,84,,,,80,53,83,65,65,60,60,svg/modernTropical_p-2.svg,png/modernTropical_p-2.png
modernTropical,Modern Tropical,p-3,tropical,heroScatter,zFlow,n/a,cornerCluster,citrus-pop,5887,87,82.5,82,,,,77,50,81,65,65,60,58,svg/modernTropical_p-3.svg,png/modernTropical_p-3.png
modernTropical,Modern Tropical,p-4,tropical,toss,zFlow,n/a,cornerCluster,ocean-breeze,5989,88,83.55,83,,,,80,51,83,65,65,60,60,svg/modernTropical_p-4.svg,png/modernTropical_p-4.png
modernTropical,Modern Tropical,p-5,tropical,toss,diagonal,n/a,cornerCluster,ocean-breeze,6012,87,83.9,81,,,,79,48,83,65,65,60,57,svg/modernTropical_p-5.svg,png/modernTropical_p-5.png
boutiquePackaging,Boutique Packaging,p-1,damask,stripe,cornerFlow,n/a,n/a,blush-gold,850,46,75.55000000000001,81,,,,82,94,86,50,65,60,80,svg/boutiquePackaging_p-1.svg,png/boutiquePackaging_p-1.png
boutiquePackaging,Boutique Packaging,p-2,geometric,stripe,cornerFlow,n/a,n/a,blush-gold,897,49,88.8,81,,,,95,88,94,50,50,75,76,svg/boutiquePackaging_p-2.svg,png/boutiquePackaging_p-2.png
boutiquePackaging,Boutique Packaging,p-3,damask,gridMinimal,centerFocus,n/a,n/a,blush-gold,469,14,67.65,63,,,,71,68,78,50,65,45,58,svg/boutiquePackaging_p-3.svg,png/boutiquePackaging_p-3.png
boutiquePackaging,Boutique Packaging,p-4,geometric,stripe,cornerFlow,n/a,n/a,blush-gold,889,49,89,80,,,,97,87,95,50,50,75,74,svg/boutiquePackaging_p-4.svg,png/boutiquePackaging_p-4.png
