styleId,label,n,commercialScore,composition,heroVisibility,hierarchy,negativeSpaceQuality,rhythm,density,overlapQuality,edgeContinuity,motifDiversity,illustrationQuality,illustrationQualityV2,flowerRealism,leafRealism,bouquetQuality,gestureQuality,visualRichness,styleFit,commercialStyleFit,productTargetFit,paletteContrast,luxuryComposition,spacing,commercialAppealScoreV2,failureRateCommercial,mainVisualFailureMode,duplicateRisk
minimalBotanical,Minimal Botanical,30,33.63,95.27,83.45,46,71.07,68.93,71.17,100,89.4,87.07,50.97,33.53,0,59.6,0,0,60,77.27,77.1,53,100,79.07,87.03,79.57,96.67,"penalty:gridAppearance (100% of samples)","not measured in single-preset synthetic sample (see Portfolio Phase 1 for real cross-portfolio duplicate detection: 0/100)"
boutiquePackaging,Boutique Packaging,30,39.73,95.9,84.45,55.43,73.97,81.53,70,99.7,89.27,74.7,,,,,,,,76.07,77.03,56.8,100,71.83,87.9,80.03,83.33,"penalty:gridAppearance (100% of samples)","not measured in single-preset synthetic sample (see Portfolio Phase 1 for real cross-portfolio duplicate detection: 0/100)"
premiumTextile,Premium Textile,30,46.07,100,80.12,63.87,100,90.23,99.9,100,99.07,47,,,,,,,,69.03,87.83,51.6,100,73.13,98.63,80,96.67,"penalty:gridAppearance (100% of samples)","not measured in single-preset synthetic sample (see Portfolio Phase 1 for real cross-portfolio duplicate detection: 0/100)"
luxuryFloral,Luxury Floral,30,63.27,98.67,86.97,39.63,91.23,68,58,100,90.4,97.83,92.23,81.53,100,75.83,100,87.87,57.47,83.03,65.87,47,100,80.6,80.07,79.27,33.33,"issue:fragmentedSilhouette (100% of samples)","not measured in single-preset synthetic sample (see Portfolio Phase 1 for real cross-portfolio duplicate detection: 0/100)"
vintageHerbarium,Vintage Herbarium,30,67.8,100,86.2,83.6,100,77.27,95.3,100,95.17,78.73,56.7,38.37,0,56,0,0,70.37,59.67,87.27,53,100,76.33,79.37,77.27,43.33,"penalty:gridAppearance (46.67% of samples)","not measured in single-preset synthetic sample (see Portfolio Phase 1 for real cross-portfolio duplicate detection: 0/100)"
darkBotanical,Dark Botanical,30,68.47,100,89.32,50.73,97.87,68.63,64.27,96.87,88.67,94.6,84,69.77,56.67,71.03,56.67,94.47,62.93,78.4,72.7,47,100,81.2,73.6,78.83,26.67,"issue:fragmentedSilhouette (66.67% of samples)","not measured in single-preset synthetic sample (see Portfolio Phase 1 for real cross-portfolio duplicate detection: 0/100)"
luxuryWallpaper,Luxury Wallpaper,30,72.8,100,86.43,100,100,70.53,98.93,97.53,96.57,60.27,,,,,,,,69.03,85.33,47,100,73.57,68.57,75.5,26.67,"penalty:gridAppearance (40% of samples)","not measured in single-preset synthetic sample (see Portfolio Phase 1 for real cross-portfolio duplicate detection: 0/100)"
editorialBotanical,Editorial Botanical,30,84.3,100,94.79,99.87,79.07,69.57,56.83,98.43,81.67,82.73,65.73,79.27,100,80.53,100,91.17,60.33,78.17,71.43,53,65.43,77.13,63.83,76.77,0,"issue:tooManyFillers (56.67% of samples)","not measured in single-preset synthetic sample (see Portfolio Phase 1 for real cross-portfolio duplicate detection: 0/100)"
kidsPlayful,Kids Playful,30,85.23,94.47,89.62,100,100,69.3,96.37,98.87,94.9,48.67,,,,,,,,44.53,81.03,53,97.83,73.8,63.93,73.07,0,"issue:lowDetail (100% of samples)","not measured in single-preset synthetic sample (see Portfolio Phase 1 for real cross-portfolio duplicate detection: 0/100)"
bohoFloral,Boho Floral,30,85.67,85.93,95.01,100,100,70.37,95.4,94.5,94.8,75,63.74,62.21,0,72.37,100,94.79,59,70.1,81.57,51.17,100,76.1,63.43,76.93,0,"issue:lowDetail (36.67% of samples)","not measured in single-preset synthetic sample (see Portfolio Phase 1 for real cross-portfolio duplicate detection: 0/100)"
scandinavianOrganic,Scandinavian Organic,30,86.03,100,91.65,90.9,100,69.63,77,100,90.3,82,54.69,36.06,0,63.19,0,0,60.13,51.3,77,50.67,100,78.1,65.23,75.27,0,"issue:lowDetail (46.67% of samples)","not measured in single-preset synthetic sample (see Portfolio Phase 1 for real cross-portfolio duplicate detection: 0/100)"
retroOrganic,Retro Organic,30,86.37,89.77,91.78,100,100,68.37,83.07,99.2,89.6,69.3,,,,,,,,61.27,77.9,48.37,100,77.37,65.83,75.17,0,"issue:lowDetail (63.33% of samples)","not measured in single-preset synthetic sample (see Portfolio Phase 1 for real cross-portfolio duplicate detection: 0/100)"
softWatercolorInspired,Soft Watercolor Inspired (Vector only),30,86.87,99.07,85.99,86.5,100,69.03,90.27,100,93.57,82.17,66.36,39.55,0,78.91,0,0,57.64,58.9,73.1,48.2,69.5,78.5,65.17,73.17,0,"issue:lowDetail (63.33% of samples)","not measured in single-preset synthetic sample (see Portfolio Phase 1 for real cross-portfolio duplicate detection: 0/100)"
modernTropical,Modern Tropical,30,87.63,100,83.63,100,100,69.57,97.33,99.83,94.47,56.77,,,,,,,,69.17,80.57,51,100,73.57,67.93,71.9,0,"issue:tooManyFillers (46.67% of samples)","not measured in single-preset synthetic sample (see Portfolio Phase 1 for real cross-portfolio duplicate detection: 0/100)"
organicAbstract,Organic Abstract,30,88.23,97.47,98.41,92.07,100,67.97,92.27,99.77,93.07,76.77,,,,,,,,64.1,82.97,48,100,78.73,66.9,79.23,0,"issue:lowDetail (100% of samples)","not measured in single-preset synthetic sample (see Portfolio Phase 1 for real cross-portfolio duplicate detection: 0/100)"
