pattern_id,preset,product_target,focal_point_clear,bouquet_cohesive,flowers_refined,leaves_refined,natural_flow,good_negative_space,palette_beautiful,thumbnail_readable,looks_professional,looks_original,suitable_for_submission,reviewer_notes,final_decision
luxuryFloral_1,luxuryFloral,giftWrap,Y,N,Y,Y,Y,N,Y,Y,Y,Y,,,REJECT
luxuryFloral_2,luxuryFloral,giftWrap,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,REVIEW
luxuryFloral_3,luxuryFloral,giftWrap,Y,N,Y,Y,Y,N,Y,Y,Y,Y,,,REJECT
luxuryFloral_4,luxuryFloral,giftWrap,Y,N,Y,Y,Y,N,Y,Y,Y,Y,,,REJECT
luxuryFloral_5,luxuryFloral,giftWrap,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,REVIEW
luxuryFloral_6,luxuryFloral,giftWrap,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,REVIEW
luxuryFloral_7,luxuryFloral,giftWrap,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,,,READY
luxuryFloral_8,luxuryFloral,giftWrap,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,REVIEW
luxuryFloral_9,luxuryFloral,giftWrap,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,REVIEW
luxuryFloral_10,luxuryFloral,giftWrap,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,REVIEW
darkBotanical_1,darkBotanical,wallpaper,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,REVIEW
darkBotanical_2,darkBotanical,wallpaper,Y,Y,N,N,Y,N,Y,Y,Y,Y,,,REVIEW
darkBotanical_3,darkBotanical,wallpaper,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
darkBotanical_4,darkBotanical,wallpaper,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,,,READY
darkBotanical_5,darkBotanical,wallpaper,Y,N,N,N,Y,Y,Y,Y,Y,Y,,,REVIEW
darkBotanical_6,darkBotanical,wallpaper,Y,Y,N,N,Y,N,Y,Y,Y,Y,,,READY
darkBotanical_7,darkBotanical,wallpaper,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
darkBotanical_8,darkBotanical,wallpaper,Y,N,N,N,Y,N,Y,Y,Y,Y,,,REVIEW
darkBotanical_9,darkBotanical,wallpaper,Y,Y,N,N,Y,Y,Y,Y,Y,Y,,,READY
darkBotanical_10,darkBotanical,wallpaper,Y,Y,N,N,Y,Y,Y,Y,Y,Y,,,READY
bohoFloral_1,bohoFloral,fabric,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,REVIEW
bohoFloral_2,bohoFloral,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
bohoFloral_3,bohoFloral,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
bohoFloral_4,bohoFloral,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
bohoFloral_5,bohoFloral,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
bohoFloral_6,bohoFloral,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
bohoFloral_7,bohoFloral,fabric,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,REVIEW
bohoFloral_8,bohoFloral,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
bohoFloral_9,bohoFloral,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
bohoFloral_10,bohoFloral,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
editorialBotanical_1,editorialBotanical,stationery,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,,,REVIEW
editorialBotanical_2,editorialBotanical,stationery,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,REVIEW
editorialBotanical_3,editorialBotanical,stationery,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,,,REVIEW
editorialBotanical_4,editorialBotanical,stationery,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
editorialBotanical_5,editorialBotanical,stationery,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
editorialBotanical_6,editorialBotanical,stationery,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,REVIEW
editorialBotanical_7,editorialBotanical,stationery,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,REVIEW
editorialBotanical_8,editorialBotanical,stationery,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,REVIEW
editorialBotanical_9,editorialBotanical,stationery,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,REVIEW
editorialBotanical_10,editorialBotanical,stationery,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,,,REVIEW
minimalBotanical_1,minimalBotanical,textile,Y,N,N,N,Y,N,Y,Y,Y,Y,,,REJECT
minimalBotanical_2,minimalBotanical,textile,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
minimalBotanical_3,minimalBotanical,textile,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
minimalBotanical_4,minimalBotanical,textile,Y,N,N,N,Y,N,Y,Y,Y,Y,,,REJECT
minimalBotanical_5,minimalBotanical,textile,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
minimalBotanical_6,minimalBotanical,textile,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
minimalBotanical_7,minimalBotanical,textile,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
minimalBotanical_8,minimalBotanical,textile,Y,N,N,N,Y,N,Y,Y,Y,Y,,,REJECT
minimalBotanical_9,minimalBotanical,textile,Y,N,N,N,Y,N,Y,Y,Y,Y,,,REJECT
minimalBotanical_10,minimalBotanical,textile,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
scandinavianOrganic_1,scandinavianOrganic,homeDecor,Y,Y,N,N,Y,Y,Y,Y,Y,Y,,,READY
scandinavianOrganic_2,scandinavianOrganic,homeDecor,Y,Y,N,N,Y,Y,Y,Y,Y,Y,,,READY
scandinavianOrganic_3,scandinavianOrganic,homeDecor,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
scandinavianOrganic_4,scandinavianOrganic,homeDecor,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
scandinavianOrganic_5,scandinavianOrganic,homeDecor,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
scandinavianOrganic_6,scandinavianOrganic,homeDecor,Y,Y,N,N,Y,Y,Y,Y,Y,Y,,,READY
scandinavianOrganic_7,scandinavianOrganic,homeDecor,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
scandinavianOrganic_8,scandinavianOrganic,homeDecor,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
scandinavianOrganic_9,scandinavianOrganic,homeDecor,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
scandinavianOrganic_10,scandinavianOrganic,homeDecor,Y,Y,N,N,Y,Y,Y,Y,Y,Y,,,READY
modernTropical_1,modernTropical,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
modernTropical_2,modernTropical,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
modernTropical_3,modernTropical,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
modernTropical_4,modernTropical,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
modernTropical_5,modernTropical,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
modernTropical_6,modernTropical,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
modernTropical_7,modernTropical,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,READY
modernTropical_8,modernTropical,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
modernTropical_9,modernTropical,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
modernTropical_10,modernTropical,fabric,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
kidsPlayful_1,kidsPlayful,textile,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
kidsPlayful_2,kidsPlayful,textile,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
kidsPlayful_3,kidsPlayful,textile,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
kidsPlayful_4,kidsPlayful,textile,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,READY
