pattern_id,style_id,product_target,decision,commercial_v1,commercial_v2,beauty_score,fragmented_silhouette,dead_space,thumbnail200,thumbnail_legible_all_scales,keyword_count
luxuryFloral_1,luxuryFloral,giftWrap,REVIEW,76.00,76.00,77,false,true,87,true,50
luxuryFloral_2,luxuryFloral,giftWrap,REVIEW,87.00,87.00,79,true,false,95,true,50
luxuryFloral_3,luxuryFloral,giftWrap,REVIEW,72.00,72.00,76,false,true,88,true,50
luxuryFloral_4,luxuryFloral,giftWrap,REVIEW,71.00,71.00,75,false,true,91,true,50
luxuryFloral_5,luxuryFloral,giftWrap,REVIEW,88.00,88.00,78,true,false,98,true,50
luxuryFloral_6,luxuryFloral,giftWrap,REJECT,44.00,44.00,71,true,true,100,true,50
luxuryFloral_7,luxuryFloral,giftWrap,REVIEW,75.00,75.00,77,false,true,89,true,50
luxuryFloral_8,luxuryFloral,giftWrap,REVIEW,75.00,75.00,78,false,true,89,true,50
luxuryFloral_9,luxuryFloral,giftWrap,REVIEW,73.00,73.00,78,false,true,90,true,50
luxuryFloral_10,luxuryFloral,giftWrap,REVIEW,76.00,76.00,78,false,true,86,true,50
darkBotanical_1,darkBotanical,wallpaper,READY,86.00,86.00,81,false,false,88,true,50
darkBotanical_2,darkBotanical,wallpaper,READY,85.00,85.00,76,false,false,86,true,50
darkBotanical_3,darkBotanical,wallpaper,READY,83.00,83.00,80,false,false,92,true,50
darkBotanical_4,darkBotanical,wallpaper,REJECT,71.00,71.00,74,true,true,92,true,50
darkBotanical_5,darkBotanical,wallpaper,READY,86.00,86.00,81,false,false,91,true,50
darkBotanical_6,darkBotanical,wallpaper,READY,87.00,87.00,83,false,false,89,true,50
darkBotanical_7,darkBotanical,wallpaper,READY,83.00,83.00,84,false,false,90,true,50
darkBotanical_8,darkBotanical,wallpaper,REVIEW,75.00,75.00,76,false,true,89,true,50
darkBotanical_9,darkBotanical,wallpaper,READY,84.00,84.00,80,false,false,93,true,50
darkBotanical_10,darkBotanical,wallpaper,READY,83.00,83.00,77,false,false,90,true,50
bohoFloral_1,bohoFloral,fabric,READY,79.00,79.00,75,false,false,89,true,50
bohoFloral_2,bohoFloral,fabric,READY,86.00,86.00,80,false,false,87,true,50
bohoFloral_3,bohoFloral,fabric,READY,78.00,78.00,75,false,false,90,true,50
bohoFloral_4,bohoFloral,fabric,READY,79.00,79.00,75,false,false,89,true,50
bohoFloral_5,bohoFloral,fabric,READY,88.00,88.00,82,false,false,91,true,50
bohoFloral_6,bohoFloral,fabric,READY,88.00,88.00,81,false,false,89,true,50
