pattern_id,style_id,product_target,decision,commercial_v2,beauty_score,fragmented_silhouette,dead_space,reviewer_verdict,reviewer_notes
luxuryFloral_1,luxuryFloral,giftWrap,REVIEW,91.0,79,true,false,,
luxuryFloral_2,luxuryFloral,giftWrap,REVIEW,90.0,78,true,false,,
luxuryFloral_3,luxuryFloral,giftWrap,REVIEW,89.0,78,true,false,,
luxuryFloral_4,luxuryFloral,giftWrap,REVIEW,89.0,77,true,false,,
luxuryFloral_5,luxuryFloral,giftWrap,REVIEW,73.0,78,false,true,,
luxuryFloral_6,luxuryFloral,giftWrap,REVIEW,73.0,76,false,true,,
luxuryFloral_7,luxuryFloral,giftWrap,REVIEW,89.0,78,true,false,,
luxuryFloral_8,luxuryFloral,giftWrap,REJECT,76.0,74,true,true,,
luxuryFloral_9,luxuryFloral,giftWrap,REJECT,44.0,65,true,true,,
luxuryFloral_10,luxuryFloral,giftWrap,REVIEW,75.0,76,false,true,,
darkBotanical_1,darkBotanical,wallpaper,REVIEW,87.0,76,true,false,,
darkBotanical_2,darkBotanical,wallpaper,READY,86.0,84,false,false,,
darkBotanical_3,darkBotanical,wallpaper,REVIEW,84.0,75,true,false,,
darkBotanical_4,darkBotanical,wallpaper,REVIEW,75.0,74,false,true,,
darkBotanical_5,darkBotanical,wallpaper,READY,85.0,76,false,false,,
darkBotanical_6,darkBotanical,wallpaper,READY,85.0,80,false,false,,
darkBotanical_7,darkBotanical,wallpaper,REVIEW,87.0,79,true,false,,
darkBotanical_8,darkBotanical,wallpaper,REJECT,74.0,71,true,true,,
darkBotanical_9,darkBotanical,wallpaper,REVIEW,86.0,78,true,false,,
darkBotanical_10,darkBotanical,wallpaper,READY,87.0,81,false,false,,
bohoFloral_1,bohoFloral,fabric,READY,85.0,79,false,false,,
bohoFloral_2,bohoFloral,fabric,REVIEW,86.0,76,true,false,,
bohoFloral_3,bohoFloral,fabric,REVIEW,88.0,77,true,false,,
bohoFloral_4,bohoFloral,fabric,READY,79.0,76,false,false,,
bohoFloral_5,bohoFloral,fabric,READY,80.0,75,false,false,,
bohoFloral_6,bohoFloral,fabric,REVIEW,86.0,75,true,false,,
bohoFloral_7,bohoFloral,fabric,READY,81.0,77,false,false,,
bohoFloral_8,bohoFloral,fabric,READY,86.0,80,false,false,,
bohoFloral_9,bohoFloral,fabric,READY,85.0,79,false,false,,
bohoFloral_10,bohoFloral,fabric,READY,84.0,79,false,false,,
editorialBotanical_1,editorialBotanical,stationery,REVIEW,88.0,78,true,false,,
editorialBotanical_2,editorialBotanical,stationery,READY,86.0,84,false,false,,
editorialBotanical_3,editorialBotanical,stationery,READY,90.0,84,false,false,,
editorialBotanical_4,editorialBotanical,stationery,REVIEW,91.0,79,true,false,,
editorialBotanical_5,editorialBotanical,stationery,READY,86.0,80,false,false,,
editorialBotanical_6,editorialBotanical,stationery,READY,84.0,85,false,false,,
editorialBotanical_7,editorialBotanical,stationery,REVIEW,72.0,80,false,true,,
editorialBotanical_8,editorialBotanical,stationery,REVIEW,72.0,79,false,true,,
editorialBotanical_9,editorialBotanical,stationery,REJECT,73.0,74,true,true,,
editorialBotanical_10,editorialBotanical,stationery,READY,88.0,83,false,false,,
minimalBotanical_1,minimalBotanical,textile,REVIEW,73.0,70,true,false,,
minimalBotanical_2,minimalBotanical,textile,REJECT,74.0,70,true,true,,
minimalBotanical_3,minimalBotanical,textile,READY,81.0,83,false,false,,
minimalBotanical_4,minimalBotanical,textile,READY,83.0,87,false,false,,
minimalBotanical_5,minimalBotanical,textile,READY,81.0,83,false,false,,
minimalBotanical_6,minimalBotanical,textile,REJECT,75.0,71,true,true,,
minimalBotanical_7,minimalBotanical,textile,READY,82.0,84,false,false,,
minimalBotanical_8,minimalBotanical,textile,READY,81.0,83,false,false,,
minimalBotanical_9,minimalBotanical,textile,READY,81.0,85,false,false,,
minimalBotanical_10,minimalBotanical,textile,READY,82.0,84,false,false,,
scandinavianOrganic_1,scandinavianOrganic,homeDecor,READY,88.0,84,false,false,,
scandinavianOrganic_2,scandinavianOrganic,homeDecor,READY,88.0,84,false,false,,
scandinavianOrganic_3,scandinavianOrganic,homeDecor,READY,86.0,80,false,false,,
scandinavianOrganic_4,scandinavianOrganic,homeDecor,READY,83.0,77,false,false,,
scandinavianOrganic_5,scandinavianOrganic,homeDecor,READY,85.0,83,false,false,,
scandinavianOrganic_6,scandinavianOrganic,homeDecor,READY,87.0,83,false,false,,
scandinavianOrganic_7,scandinavianOrganic,homeDecor,READY,85.0,79,false,false,,
scandinavianOrganic_8,scandinavianOrganic,homeDecor,REVIEW,87.0,73,true,false,,
scandinavianOrganic_9,scandinavianOrganic,homeDecor,READY,85.0,79,false,false,,
scandinavianOrganic_10,scandinavianOrganic,homeDecor,REVIEW,88.0,79,true,false,,
modernTropical_1,modernTropical,fabric,READY,87.0,79,false,false,,
modernTropical_2,modernTropical,fabric,READY,88.0,79,false,false,,
modernTropical_3,modernTropical,fabric,READY,87.0,80,false,false,,
modernTropical_4,modernTropical,fabric,READY,89.0,80,false,false,,
modernTropical_5,modernTropical,fabric,READY,88.0,79,false,false,,
modernTropical_6,modernTropical,fabric,READY,88.0,79,false,false,,
modernTropical_7,modernTropical,fabric,READY,88.0,80,false,false,,
modernTropical_8,modernTropical,fabric,READY,86.0,79,false,false,,
modernTropical_9,modernTropical,fabric,READY,87.0,79,false,false,,
modernTropical_10,modernTropical,fabric,READY,89.0,80,false,false,,
kidsPlayful_1,kidsPlayful,textile,READY,84.0,79,false,false,,
kidsPlayful_2,kidsPlayful,textile,READY,86.0,79,false,false,,
kidsPlayful_3,kidsPlayful,textile,READY,85.0,80,false,false,,
kidsPlayful_4,kidsPlayful,textile,READY,84.0,80,false,false,,
kidsPlayful_5,kidsPlayful,textile,READY,85.0,79,false,false,,
kidsPlayful_6,kidsPlayful,textile,READY,86.0,80,false,false,,
kidsPlayful_7,kidsPlayful,textile,READY,86.0,79,false,false,,
kidsPlayful_8,kidsPlayful,textile,READY,86.0,79,false,false,,
kidsPlayful_9,kidsPlayful,textile,READY,85.0,79,false,false,,
kidsPlayful_10,kidsPlayful,textile,READY,87.0,79,false,false,,
organicAbstract_1,organicAbstract,wallpaper,READY,89.0,83,false,false,,
organicAbstract_2,organicAbstract,wallpaper,READY,88.0,82,false,false,,
organicAbstract_3,organicAbstract,wallpaper,READY,88.0,83,false,false,,
organicAbstract_4,organicAbstract,wallpaper,READY,88.0,82,false,false,,
organicAbstract_5,organicAbstract,wallpaper,READY,89.0,82,false,false,,
organicAbstract_6,organicAbstract,wallpaper,READY,89.0,83,false,false,,
organicAbstract_7,organicAbstract,wallpaper,READY,88.0,82,false,false,,
organicAbstract_8,organicAbstract,wallpaper,READY,89.0,83,false,false,,
organicAbstract_9,organicAbstract,wallpaper,READY,80.0,82,false,false,,
organicAbstract_10,organicAbstract,wallpaper,READY,87.0,83,false,false,,
vintageHerbarium_1,vintageHerbarium,stationery,READY,86.0,79,false,false,,
vintageHerbarium_2,vintageHerbarium,stationery,READY,86.0,77,false,false,,
vintageHerbarium_3,vintageHerbarium,stationery,READY,87.0,77,false,false,,
vintageHerbarium_4,vintageHerbarium,stationery,READY,81.0,83,false,false,,
vintageHerbarium_5,vintageHerbarium,stationery,READY,81.0,82,false,false,,
vintageHerbarium_6,vintageHerbarium,stationery,READY,86.0,78,false,false,,
vintageHerbarium_7,vintageHerbarium,stationery,READY,83.0,86,false,false,,
vintageHerbarium_8,vintageHerbarium,stationery,READY,81.0,81,false,false,,
vintageHerbarium_9,vintageHerbarium,stationery,READY,87.0,78,false,false,,
vintageHerbarium_10,vintageHerbarium,stationery,READY,82.0,83,false,false,,
